run_name,mass_MWp_GeV,mass_MNR_GeV,decay_width_Wp_GeV,decay_width_NR_GeV,cross_section_pb
run_04,2000,500,2.619,1.588,1.29e-11
run_05,3000,500,3.956,1.588,2.63e-13
run_06,4000,500,5.288,1.588,1.11e-14
run_07,5000,500,6.618,1.588,6.42e-16
run_08,2000,1500,2.444,44.15,4.72e-11
run_09,3000,2500,3.625,204.8,1.36e-12
run_10,4000,3500,4.811,562.4,6.17e-14
run_11,5000,4500,5.998,1196.0,3.77e-15

