pt_mu1,pt_mu2,pt_fjt,M_fjt,S_T,MET,DR_fjt_mu1,DR_fjt_mu2,DR_mu1_mu2
863.012,668.645,364.808,122.821,1928.57,148.281,3.07323,0.868298,3.45814
1076.57,419.362,825.448,43.257,2337.3,181.892,3.17852,0.759154,2.95565
583.941,221.769,353.137,38.8602,1647.19,36.095,3.25427,1.12634,4.27386
1366.91,260.626,903.117,263.703,2781.95,304.596,3.07164,0.623239,2.79814
1530.98,184.961,1160.76,315.275,3064.78,334.789,3.26488,0.766207,2.93916
853.928,86.2758,635.638,263.714,1938.47,162.959,3.34477,1.06258,3.00713
961.659,217.273,685.794,131.495,2326.99,168.343,3.19938,1.235,3.29194
982.594,432.993,434.525,43.4587,2196.22,131.281,3.72845,0.624491,3.14776
900.849,193.828,538.676,107.65,2278.31,50.664,3.67864,0.955786,3.52763
1502.25,1172.89,179.846,65.0838,2944.69,176.845,2.68157,0.69319,3.16981
514.459,507.504,607.734,74.2957,2185.04,36.8614,1.71575,3.42981,3.58971
1141.78,615.395,836.307,286.035,2691.4,251.118,2.95634,0.415984,2.92148
1364.12,387.544,907.888,214.86,2882.83,92.9254,3.30632,0.817998,2.85879
1403.59,292.435,1351.59,153.238,3632.79,33.4932,3.01698,0.804385,2.21348
1061.74,191.849,814.396,256.677,2133.17,130.132,3.54798,1.08694,3.05285
642.298,512.315,356.847,22.3397,1543.03,102.365,3.44309,0.855979,3.88546
1075.95,274.054,541.372,91.7924,2054.25,185.812,3.40749,0.690258,3.44671
1404.05,148.032,1079.73,262.708,2736.9,254.171,3.24231,1.10128,2.79864
974.163,813.422,757.484,148.604,2814.94,380.472,2.85402,0.581946,3.16607
870.641,125.536,1042.7,395.862,2403.26,11.5174,3.50571,0.939955,2.92664
808.885,91.462,666.408,275.381,1641.74,127.46,3.98187,1.60795,2.52212
419.543,408.52,233.719,37.8853,1575.55,22.0196,2.6264,2.89707,4.12766
911.307,171.935,712.923,39.0506,2162.42,103.017,3.66705,1.09392,3.50419
1138.44,199.06,1151.4,170.147,2555.29,148.856,3.1021,0.911999,2.35619
1489.91,603.457,740.022,342.723,3007.48,104.959,3.19979,0.730154,2.87218
1276.24,505.469,900.184,118.973,2706.85,60.4879,2.97574,0.627311,2.75033
566.326,420.682,454.673,80.6028,1684.27,311.975,3.12807,0.885246,3.71748
432.657,279.644,111.404,25.2017,1094.52,67.7554,4.21831,1.30376,4.12805
1547.63,165.773,1288.89,211.177,3096.8,127.618,3.02977,0.960238,2.62115
1620.12,726.98,857.085,44.019,3190.43,125.769,2.9156,0.6976,2.88362
979.074,329.917,331.694,73.1951,1789.11,154.056,3.77803,0.530809,3.7647
408.869,140.127,414.378,173.007,987.419,50.0263,4.6039,2.06419,3.92259
617.475,162.686,1639.34,272.214,3718.19,19.8569,3.3146,0.925394,3.35117
1511.68,153.32,1305.11,113.662,2944.6,85.1037,3.11643,1.1251,2.85708
1019.64,126.971,1018.02,147.319,2334.89,195.068,3.35116,0.888179,2.775
749.033,140.596,617.996,159.208,1590.37,3.46982,4.00009,1.15375,2.93063
633.458,143.766,368.237,31.1276,1531.72,99.3469,3.94287,0.600679,4.48088
789.566,202.801,398.49,62.5902,1484.98,237.639,4.14554,1.14748,4.08269
867.741,319.017,447.137,49.1739,1710.58,47.3789,3.9322,0.756147,3.45693
420.552,351.307,152.294,33.3397,1006.22,46.375,2.15967,4.03896,4.72903
1652.96,76.0908,1299.25,365.062,3212.33,365.375,3.10727,1.08128,2.38331
826.422,186.633,415.68,92.6618,1744.62,17.5212,3.77639,1.30703,3.10839
1375.32,246.751,953.102,189.938,2703.61,155.379,3.01392,0.662254,2.84161
669.599,167.465,518.485,208.246,1541.48,62.3773,3.99979,1.38159,3.46919
992.108,686.367,362.915,60.8776,2043.43,47.2041,3.04439,0.766426,3.07185
859.685,377.599,911.338,202.238,2514.88,80.9164,3.43713,0.73148,2.90978
698.998,162.07,565.599,57.1666,1630.56,108.259,3.80006,0.702149,3.60927
1069.14,552.786,199.282,30.5126,2026.84,253.973,3.51033,1.19903,3.88797
779.445,307.364,590.834,190.959,1802.86,50.5559,3.6613,1.15503,3.31244
668.389,67.3138,439.145,45.0373,1400.72,123.812,4.17719,2.15574,3.01882
339.759,101.196,328.351,101.75,937.598,43.4215,4.99277,2.48655,2.6574
868.343,769.915,85.395,27.0203,1753.28,14.0031,4.206,1.10884,3.65239
734.187,139.119,546.581,52.6779,1718.95,58.3588,3.72973,1.38172,4.14118
778.137,607.598,71.0255,21.677,1498.64,170.276,3.86818,1.03571,3.90349
538.472,340.901,187.609,42.3247,1172.93,24.1421,4.19048,0.636249,4.07227
412.845,338.398,94.3124,5.38592,922.971,20.6497,3.60116,1.35854,4.81867
1263.78,570.863,388.643,99.9898,2320.03,277.749,3.56387,0.679194,3.58455
1292.33,155.009,1036.75,336.954,2532.4,152.416,3.17739,0.829666,2.73997
1028.63,763.799,321.313,33.4829,2306.87,121.468,3.44751,0.575823,3.20862
701.313,595.985,151.794,16.9188,1644.55,178.378,3.87558,0.854239,3.402
1356.0,158.031,832.402,131.393,2556.13,321.728,3.28916,0.765188,2.77309
399.847,157.522,440.539,109.623,1141.71,14.4804,4.61779,2.0418,3.4559
1011.77,216.984,655.892,168.918,1879.84,201.195,3.79874,1.22082,2.91793
707.039,328.124,731.399,33.3804,2454.48,418.214,2.52927,1.7566,2.48226
1435.56,80.6463,791.077,182.564,2541.58,558.659,3.51175,1.88256,1.72098
973.834,166.935,1103.3,159.189,2773.45,213.187,2.73807,0.831031,2.90175
932.584,189.207,706.612,291.678,1928.66,111.353,3.81012,1.13429,2.93468
1094.8,865.827,152.69,54.2901,2139.86,334.586,1.0064,2.65399,3.17256
1285.11,80.6198,1487.22,632.446,3002.76,302.186,3.32335,0.834017,2.68817
1232.46,1011.61,224.311,25.4975,2318.49,23.6449,3.2795,0.187802,3.31871
889.586,176.566,716.572,31.7791,1986.96,118.1,3.39477,0.607417,3.23204
794.181,470.388,295.515,33.648,1678.98,88.7852,3.92645,0.948097,3.51124
711.954,106.649,922.476,178.712,1949.28,52.3823,3.5399,1.55552,2.32992
805.632,634.496,282.368,17.8275,1883.38,63.6905,3.53287,0.514973,3.49096
1111.65,822.345,169.132,14.9203,2184.75,30.3016,3.55092,1.17382,3.25972
305.507,295.891,235.713,29.345,1186.49,116.075,2.29008,3.14214,4.49455
940.422,434.477,488.871,14.3748,2247.57,18.7139,3.2126,0.596302,3.10235
1135.51,182.573,644.096,191.947,2464.03,112.811,3.0327,2.56978,3.40835
719.648,47.6488,650.478,244.565,1461.2,125.023,3.90005,2.67027,2.3469
925.493,109.883,1299.46,189.949,2607.77,211.841,3.20915,1.16449,3.11899
1251.14,190.004,1134.98,316.618,2691.95,83.3843,3.07272,0.772309,2.77629
981.423,493.257,492.937,42.6852,1988.61,41.883,3.08392,0.897968,3.26249
808.612,725.459,233.06,81.7296,1935.49,125.613,2.47717,1.78274,3.5776
580.11,169.709,489.684,55.3834,1376.73,121.288,3.98999,1.19843,3.22934
473.971,274.584,169.383,37.5056,1037.39,61.4335,4.89261,1.04552,4.10285
1230.27,196.307,1196.13,65.6799,2851.35,91.7197,3.22947,0.653014,2.73779
782.64,61.0553,604.658,46.8688,1590.1,96.5137,3.74204,1.08339,2.67343
1559.96,210.115,1135.08,201.067,3314.39,203.244,3.19353,0.998232,2.28291
781.065,306.375,415.741,130.646,1922.92,13.1277,3.65667,0.961655,3.41709
1000.62,650.187,278.78,84.5743,1969.75,88.389,3.24832,0.734753,3.16092
1462.14,185.756,922.84,141.81,2673.28,336.747,3.25335,0.966149,3.317
1014.75,867.102,583.916,61.9606,2854.1,157.445,2.94113,0.604394,3.0351
1271.24,581.179,666.294,142.602,2553.17,75.9395,3.08291,0.752004,3.00729
1435.21,137.241,1168.09,246.48,2770.28,150.03,3.08926,0.877769,2.75573
937.565,105.35,632.203,104.412,1874.56,90.6023,3.57373,1.22346,2.80562
952.496,249.91,987.499,176.3,2471.63,83.5004,3.33123,1.01354,2.53949
1476.73,59.9596,1278.09,108.439,2870.55,166.564,3.15833,1.55287,3.58076
1191.69,899.939,205.851,27.9304,2327.93,136.302,3.10232,0.61932,3.28777
1736.85,671.016,396.047,84.5557,2875.73,659.634,2.95211,0.523762,3.00428
577.589,244.868,456.645,72.8101,1503.01,29.0874,3.7129,1.43419,4.1196
1066.84,1023.38,217.996,16.9947,2473.39,27.5762,3.33885,0.270336,3.4639
514.973,279.982,353.278,9.5829,1266.06,78.1916,4.15961,1.10836,3.70987
1525.61,96.0863,1327.99,111.273,3011.96,126.38,3.05804,1.44813,1.79704
1188.46,647.932,549.633,155.183,2434.31,8.24225,2.85089,0.636236,3.04757
1138.83,561.075,471.362,56.0315,2394.97,17.9619,3.16918,0.626053,3.18635
1287.26,63.4218,1375.35,302.434,2781.88,121.615,3.14363,1.38681,2.84808
1710.24,66.75,1317.59,35.1034,3366.88,317.12,3.06115,1.14686,1.94834
776.501,454.063,371.996,60.4683,1741.34,38.8907,3.98808,0.888852,3.59415
1160.48,405.707,598.225,98.1344,2228.64,145.122,3.50239,0.696706,3.22419
1626.65,178.025,1273.74,164.391,3203.39,226.194,3.10467,1.00754,2.55609
1361.68,131.408,1033.48,100.548,2558.22,222.387,3.34376,1.27792,2.39866
