pt_mu1,pt_mu2,pt_fjt,M_fjt,S_T,MET,DR_fjt_mu1,DR_fjt_mu2,DR_mu1_mu2
56.0365,45.8823,72.0379,16.5203,217.423,74.0369,3.51558,1.83417,1.78291
93.4005,21.4683,204.306,12.9668,474.738,85.2724,2.62128,2.8754,1.13964
53.864,21.8206,59.4503,14.1492,192.981,27.4304,2.28896,3.48504,1.47258
40.0369,26.6165,104.458,18.1832,282.149,56.3937,3.19288,2.54974,0.711182
102.921,41.5741,72.3985,12.5066,356.418,83.062,1.45995,1.62348,0.756844
25.3673,23.722,94.9031,32.0793,207.161,37.1078,3.14529,1.88322,2.71544
82.0964,44.8215,80.5021,24.8059,314.918,72.3164,2.55893,1.15689,2.76639
70.7672,66.6029,74.082,14.7391,310.001,9.78838,2.02835,2.41961,2.17045
57.173,49.002,199.229,30.522,715.924,103.257,3.85806,2.939,2.43988
44.1621,25.315,83.9788,13.1267,213.308,52.9386,2.77056,3.00414,0.893595
87.5856,44.2116,126.504,43.5811,385.042,62.3002,1.85261,1.7519,2.74871
107.944,94.517,97.9082,11.3367,345.377,108.872,0.826068,2.52102,3.17725
49.4185,34.3123,94.8774,44.6258,390.659,108.399,2.05696,2.1412,2.43887
188.458,51.2971,94.1997,13.7322,424.916,59.2375,3.16424,1.18603,3.19006
107.136,98.7329,53.4771,6.06776,342.429,47.6183,2.00022,2.06713,2.43984
76.8083,53.049,94.1252,14.9508,351.913,82.47,2.24313,0.892189,2.82658
87.7508,48.8138,95.8899,12.4406,239.695,118.827,1.35437,3.32396,2.52994
56.7696,40.8243,61.9123,24.9562,267.747,54.1995,2.98789,3.22213,0.646976
80.7494,22.3696,145.066,12.7292,252.293,129.991,2.94669,2.35691,0.626814
69.9152,48.5806,197.239,55.3419,460.659,88.5062,2.01468,3.07043,1.17489
50.7981,50.1791,53.9207,8.18221,218.938,50.7092,1.45132,2.47426,2.80138
73.9713,43.1965,89.1479,10.5449,288.682,16.6475,2.43237,0.944534,3.12902
109.043,63.471,79.6214,11.8342,265.868,41.5048,2.35163,1.17461,3.01183
130.216,86.0277,104.493,7.31224,416.492,72.2126,1.55457,1.70803,3.17185
142.735,31.3113,71.3692,17.7963,280.59,70.4992,2.55313,0.769257,2.64732
51.9486,35.7835,168.463,18.3435,359.254,61.1507,3.31115,1.07479,2.55947
42.1154,31.79,76.8622,17.3174,213.2,32.3079,2.47737,2.76406,1.3155
