pt_mu1,pt_mu2,pt_fjt,M_fjt,S_T,MET,DR_fjt_mu1,DR_fjt_mu2,DR_mu1_mu2
2117.37,501.739,1402.04,139.787,4109.2,263.698,3.07834,0.545257,3.09981
1658.08,209.937,1501.01,131.654,3519.44,105.378,3.12581,0.773784,3.35393
1011.12,43.0614,1208.37,111.186,2304.28,193.091,3.7924,2.74477,1.31183
899.911,733.83,85.5697,48.4612,1745.71,136.768,3.85448,1.24473,4.11436
1621.93,933.247,641.822,86.6879,3314.09,56.0168,2.97348,0.580486,3.15206
1268.51,330.05,883.454,4.19665,2994.38,122.949,3.17854,1.07687,3.35533
903.351,307.005,881.569,68.2273,2092.17,199.637,3.49234,0.815312,2.9959
1815.44,1068.06,152.392,56.0757,3119.68,860.995,0.985254,2.70245,3.47743
1078.73,825.211,268.406,79.9066,2296.74,67.908,3.03892,0.920141,3.82152
1692.83,538.547,778.725,85.8833,3032.17,371.114,3.74765,0.701828,3.37274
1712.38,993.886,397.367,54.1041,3173.54,368.837,3.04211,0.552139,3.12594
1411.14,724.4,604.87,82.4289,3156.1,88.97,3.10343,0.723899,3.58667
1566.73,144.272,1566.63,125.813,3414.19,9.00386,3.29291,1.06108,2.74988
653.775,537.311,104.779,14.7993,1302.04,62.2614,2.16023,2.9273,4.63064
1383.91,859.317,429.71,64.5453,2763.29,19.5482,3.6954,0.744028,3.40005
615.144,557.498,277.636,20.0934,1788.29,125.386,3.69549,0.950861,4.42465
966.19,273.048,741.172,87.0149,1969.48,69.9832,4.0016,1.14446,3.34507
792.9,493.238,539.882,92.2609,2116.85,146.811,3.53513,0.96191,4.41734
2035.91,118.303,1652.57,140.082,3831.55,349.896,3.24351,1.18251,2.29926
1319.46,150.729,1583.81,73.8758,3328.58,335.244,3.14683,1.0472,2.58837
1094.21,898.324,496.853,63.6829,2639.88,353.217,3.12403,0.6075,3.39391
1465.65,1101.55,478.782,79.4728,3050.18,89.6233,3.23605,0.700064,3.58858
1762.25,82.1296,1663.44,81.7239,3733.69,210.446,3.26931,1.4452,2.29134
2643.46,1909.18,137.208,36.7194,4821.83,557.168,2.71875,2.09198,3.17525
1033.55,91.7644,1250.2,113.467,2519.19,191.427,3.73171,1.49819,2.34489
1626.85,1257.07,297.788,83.3082,3312.93,218.674,3.14438,0.742262,3.26527
597.584,506.529,220.347,63.7605,1415.83,69.2305,4.1641,1.31374,4.06201
1394.82,818.624,445.142,74.0922,2663.56,175.898,3.48849,0.697351,3.333
1743.97,294.111,1601.21,108.145,3748.19,38.2546,3.06293,0.718982,3.18355
1510.93,774.623,505.121,80.0977,3404.98,146.231,3.39593,0.697904,3.03337
1410.7,577.485,977.806,146.477,2989.46,153.94,3.31334,0.665559,3.48933
1525.24,329.393,1445.93,68.1115,3337.16,205.72,3.18485,0.725344,2.70533
743.893,284.356,612.458,86.3906,1653.21,43.8296,4.13758,1.2223,4.09962
2599.33,103.571,1202.04,67.7412,3910.82,1330.45,3.14435,1.19334,2.65068
699.701,554.366,527.453,91.7793,2159.73,52.5412,4.10908,0.820432,3.59214
2052.56,475.651,1168.57,75.6648,3681.4,443.107,3.13577,0.550762,2.97939
713.419,123.582,583.198,84.7375,1550.7,49.8,4.49047,2.01357,3.12256
1023.62,966.16,67.409,8.83586,2059.83,37.0276,1.61078,2.77614,4.05913
1782.43,258.826,1897.49,171.728,4220.07,34.68,3.03728,0.722012,2.55929
1929.09,827.792,859.284,102.296,3677.89,186.223,2.9692,0.511988,3.06353
1255.45,850.285,117.129,12.7328,2223.67,306.667,3.66928,0.948322,3.55175
1548.1,245.095,660.526,74.2399,2506.54,618.493,3.81084,1.17046,4.40023
1108.72,755.161,138.048,33.9406,2067.32,368.074,3.05093,1.9884,3.79209
668.595,277.954,452.985,53.3308,1393.78,95.9141,3.97665,1.11903,3.48977
2048.22,199.658,1640.33,121.428,3885.0,280.254,3.08463,0.859939,2.39833
1244.79,87.9917,1073.88,82.8002,2467.69,127.641,3.79406,1.51117,4.44298
756.928,92.8863,690.573,176.038,1576.09,120.326,4.69749,2.49366,2.78086
2428.15,115.186,1939.76,74.3953,4859.62,578.357,2.9764,1.01531,2.55252
752.836,166.364,782.468,103.287,1827.08,43.7529,4.26952,1.47696,4.17619
1732.33,1669.77,95.7153,15.9358,3564.43,42.7908,2.54822,1.0902,3.38339
2083.42,1479.64,457.732,84.6421,4044.08,329.244,2.92359,0.593637,3.19772
1221.57,1215.36,102.104,24.9115,2549.38,82.5292,3.92231,1.057,3.48698
258.051,205.686,583.94,115.165,1559.08,113.214,1.23196,4.12195,3.89336
868.057,327.304,590.371,0.131535,2204.36,122.28,2.28383,2.6143,4.24357
1692.4,397.994,1598.64,101.187,3716.7,320.989,3.07739,0.609887,3.08544
1427.84,1367.63,226.054,69.7908,3116.15,217.837,0.902462,3.25239,3.42432
1254.74,315.295,1085.63,173.958,2864.84,208.845,3.52178,0.857412,3.0894
2056.73,868.737,1139.64,103.248,4340.51,213.94,2.9505,0.504824,3.07665
734.725,561.29,276.901,74.0286,1915.8,78.576,1.0469,4.16021,4.01027
1591.89,76.4678,1436.72,107.132,3142.89,144.043,3.48243,1.62589,2.0682
928.575,851.116,268.457,65.1177,2284.43,77.4927,0.920468,3.49368,3.78883
2409.48,768.016,722.504,183.671,4417.88,580.678,3.27783,0.608508,3.056
976.977,614.822,607.888,70.8031,2287.32,129.598,3.51316,0.78398,3.5381
1884.24,1217.69,192.073,12.1526,3342.36,519.604,2.54997,0.870567,3.23632
2043.58,1643.16,518.761,100.529,4260.29,198.794,2.70134,1.18594,3.19366
1559.81,911.141,494.893,198.509,3134.28,307.317,3.08927,0.629951,3.45058
1381.76,243.268,915.782,95.3195,2612.98,321.242,3.47056,0.885935,2.82412
733.202,392.264,451.475,76.9869,1957.2,187.898,3.54641,0.916871,4.09461
1777.48,1470.75,250.303,78.2335,3623.42,26.3643,2.73711,0.799386,3.11429
580.694,559.86,49.3909,19.4223,1241.39,56.7222,2.25239,3.70381,4.57529
2155.44,2026.73,259.184,-0.104625,4567.85,143.773,3.16796,0.0114415,3.15693
1788.97,197.445,1883.98,90.2564,3883.58,313.74,3.16089,0.8314,3.1466
1296.98,259.638,1060.05,109.127,2788.59,10.9632,3.3939,1.02033,3.89282
1139.51,410.288,808.084,98.5771,2382.53,20.8737,3.59142,0.844592,3.43395
1070.46,867.121,93.3213,18.4197,2065.08,204.875,2.87747,1.41933,4.00856
524.724,172.796,505.261,85.4935,1298.31,38.6194,4.43333,1.64044,4.34285
861.812,707.93,565.69,103.293,2209.2,393.406,3.31753,0.691604,3.49601
1624.88,930.852,562.344,93.1812,3145.81,141.515,3.30654,0.638219,3.56619
1233.98,472.931,712.743,77.176,2478.44,122.445,3.68624,0.841136,3.42312
1690.42,293.56,1353.83,93.8998,3536.31,90.0769,3.14058,0.738733,2.84631
1856.54,242.658,1708.12,167.952,3926.68,74.8415,3.16312,0.754697,3.17485
