pt_mu1,pt_mu2,pt_fjt,M_fjt,S_T,MET,DR_fjt_mu1,DR_fjt_mu2,DR_mu1_mu2
1746.95,565.844,971.053,87.7902,3383.12,236.995,3.57861,0.669951,3.45979
1003.76,504.617,489.687,145.782,2063.84,177.039,4.15967,0.931024,4.27443
803.665,331.481,693.826,61.273,2054.98,180.653,4.10478,0.924711,3.7879
1250.74,1007.75,230.223,44.721,2554.2,20.2794,4.00775,0.844608,3.68198
1333.32,1327.7,275.258,48.4166,3009.17,241.783,3.3794,0.783553,3.90276
2520.06,1678.31,143.064,26.2146,4532.95,734.199,2.40971,0.848244,3.23261
3357.17,422.119,1915.69,86.3522,5741.85,1041.43,3.15404,0.569163,3.27193
1461.42,1409.83,104.55,28.9119,3166.68,158.263,2.47883,2.3313,3.52883
2649.51,1225.8,459.626,51.2353,3875.31,1006.36,2.99411,0.436045,2.98537
1438.76,391.428,215.496,36.2522,2221.01,842.88,3.84269,0.599791,3.48545
1366.82,199.055,1978.3,90.7235,3551.16,754.793,3.26026,0.846997,2.69109
2300.0,402.421,1751.7,96.3325,4624.47,240.482,3.24181,0.553259,3.05394
2361.63,766.669,730.697,79.0945,3906.98,891.653,3.521,0.679312,3.62257
3154.57,2349.45,650.42,70.5152,5919.26,1471.6,0.447318,3.03299,3.05606
1234.55,353.274,631.758,85.1532,2226.4,277.921,3.91048,0.760609,3.35483
1752.03,533.612,716.94,64.7103,3196.68,410.119,3.60591,0.704145,3.36316
2321.41,1168.83,313.044,86.7679,3888.99,912.847,3.79481,0.722043,3.56387
860.289,464.114,425.976,70.9393,1760.79,42.9463,4.13946,1.12673,4.6913
662.294,550.249,191.236,27.7174,1710.56,39.8882,4.66288,1.43989,4.97833
724.244,47.9137,1323.27,139.28,2801.78,26.6554,4.30793,2.58981,3.4843
1750.55,1465.45,59.6477,9.93757,3303.05,390.989,1.26421,3.74854,3.68048
977.254,791.807,476.56,168.343,2160.17,229.182,3.58241,0.5763,3.62112
1149.92,778.814,372.941,70.1183,2308.09,60.5463,3.7616,0.861312,4.27829
1648.46,95.9607,1661.01,116.343,3429.48,50.0454,3.61722,1.3118,2.42383
1165.53,928.521,178.956,83.6276,2293.04,69.37,3.53089,0.992908,4.24499
2440.41,338.075,1425.11,100.187,4380.55,515.531,3.24848,0.665607,3.4225
2483.52,1266.78,546.77,97.6606,4408.01,713.91,3.35052,0.586529,3.46752
1746.69,1589.93,375.355,86.6978,3797.28,181.508,3.84505,0.693882,3.55675
1656.66,145.338,1336.6,99.9646,3193.97,344.331,3.87366,1.15902,2.92902
1760.69,1407.0,431.655,140.023,3609.48,25.2706,3.02766,0.669627,3.41392
1181.34,699.261,1034.08,100.279,4095.79,521.3,3.44689,0.606769,3.15808
2606.06,465.464,1509.02,78.5395,4577.13,743.987,3.29916,0.581229,3.03313
869.527,668.806,296.852,28.9535,1864.01,82.5454,3.96806,0.86815,3.96434
2411.06,1937.13,197.773,31.7782,4744.85,586.29,1.9879,3.38439,3.1272
2260.86,1952.57,150.713,11.8394,4602.55,217.189,1.46256,2.21082,3.16395
1552.82,988.151,725.332,86.872,3275.57,158.812,3.56244,0.531075,3.39896
1301.78,723.326,476.287,75.5741,2506.45,99.5747,3.70574,0.759886,4.16589
1763.29,1189.62,61.1668,0.0341561,3116.23,648.821,0.00951618,3.81737,3.81957
1942.91,1641.46,685.534,78.559,3584.36,326.795,2.99519,0.469028,3.11653
1300.68,543.908,738.642,105.825,2582.59,84.6838,3.78551,0.816036,4.02386
957.783,864.525,398.765,72.3056,2220.13,218.478,3.70949,0.772013,3.82748
