pt_mu1,pt_mu2,pt_fjt,M_fjt,S_T,MET,DR_fjt_mu1,DR_fjt_mu2,DR_mu1_mu2
1165.92,784.461,1889.16,126.485,3831.72,127.219,3.51699,3.16745,0.970498
508.733,161.062,560.223,80.7338,1284.61,46.0013,4.69172,4.95506,1.26091
1797.69,1388.83,301.418,80.4875,3547.43,715.894,2.82461,3.63752,3.07658
1374.24,354.839,1998.31,101.176,4014.12,309.718,3.08569,2.16814,1.69016
2664.04,543.212,1035.7,94.4386,4462.22,1070.32,3.74631,0.815677,3.14171
1635.38,251.184,1724.07,179.961,3693.0,369.487,3.44807,0.588514,3.3746
1418.65,944.377,2078.99,632.687,4591.6,340.867,3.32034,3.18107,0.354038
1125.21,360.718,489.842,91.4488,1973.06,270.652,4.81048,1.85757,3.48695
942.285,871.812,684.398,107.904,2538.03,92.7615,2.99825,3.52889,2.54588
2040.8,337.89,1425.81,82.173,3820.59,614.914,3.04745,1.5095,3.02239
1168.66,505.293,2131.63,93.307,3788.5,603.222,2.98184,2.41471,0.951146
3009.34,1758.9,584.417,78.9072,5438.89,715.595,2.82772,1.05186,2.94128
1537.37,904.543,1327.0,120.808,3913.02,736.397,3.01211,0.857517,2.98517
1275.42,1110.62,906.748,56.27,3365.57,1589.02,3.35827,3.25512,2.36795
693.957,394.135,362.116,77.6052,1463.13,138.724,4.50689,4.09675,2.42982
2106.84,375.211,1300.38,88.3267,3799.6,683.654,3.29127,1.46163,2.71535
853.823,509.313,504.162,47.4706,2156.12,223.307,3.44199,0.97857,3.74253
1458.55,445.701,1476.47,96.1197,3508.76,175.852,3.54909,2.28138,1.70136
2223.69,779.044,2030.29,100.455,5065.15,440.591,2.76817,2.32878,1.49888
2037.52,359.381,1189.36,62.7472,3589.01,481.394,3.14251,1.70064,3.37166
2202.71,1666.96,669.847,81.5817,5321.87,105.188,3.33481,1.251,3.0956
1269.31,800.191,1334.8,96.9655,3851.57,448.321,3.09798,1.72536,2.54264
2682.37,475.466,1571.09,94.3968,4928.58,706.403,3.10513,1.91818,2.55422
1206.43,976.54,1310.31,80.4191,3523.13,381.513,2.66459,1.85171,2.01324
1182.82,480.663,655.642,87.4722,2353.29,34.1206,4.39205,2.25452,3.19534
1649.41,976.413,2094.98,665.264,4777.02,549.476,3.05568,3.24018,1.18251
1633.91,793.911,1559.98,122.061,4261.17,726.441,2.9618,0.738156,2.72969
1665.72,758.319,927.746,92.2611,3375.93,299.002,3.39231,1.70029,2.64715
1682.78,868.946,2243.35,74.1931,5142.65,354.203,2.98411,2.76905,0.77161
1471.31,821.038,2073.94,146.211,4408.13,149.649,3.08461,3.15054,0.742935
2380.3,651.929,1937.19,132.214,4985.67,303.1,2.88278,1.51031,2.02464
1791.89,437.237,1626.2,103.383,3930.07,164.692,3.05947,2.50476,2.71527
1442.8,267.284,1218.46,84.0698,2961.61,311.945,3.70633,1.99983,2.23437
4017.78,673.172,1900.74,123.694,6661.4,1553.66,2.97618,0.861828,2.64461
962.362,247.815,1176.12,82.1687,2840.87,79.9964,3.86278,4.37241,1.54546
1136.91,759.696,881.546,91.388,2986.38,318.473,2.613,3.5201,2.53688
832.62,637.251,1275.64,102.633,3027.88,39.1593,3.63861,2.85692,2.36522
1257.98,267.163,1467.76,78.7701,3141.88,54.6281,3.45376,2.266,2.87782
897.321,507.867,1276.08,96.758,2791.5,84.9048,3.0445,3.37013,3.05605
1504.47,1239.94,696.435,97.8908,3489.18,336.051,3.38515,1.83269,2.91631
1543.89,793.925,1863.91,127.33,4245.6,376.623,2.7943,1.82537,1.88282
1222.69,1137.29,1976.55,166.738,4339.25,344.807,3.09893,2.88163,0.758806
1178.28,954.229,2050.08,128.015,4239.23,126.172,3.12581,3.31035,0.610165
1069.13,295.775,1271.97,94.6507,2670.79,422.568,3.41809,1.54896,2.49663
682.372,658.264,498.241,76.6864,1948.86,154.197,2.87065,4.11626,2.64013
689.207,588.258,1285.2,84.969,2872.3,163.276,4.01042,3.11948,2.39195
1510.05,561.1,2060.68,176.276,4141.66,32.3861,3.1991,3.31877,0.67684
2350.75,259.741,1667.76,68.4693,4461.7,505.72,3.12592,2.4076,2.92584
1442.04,1107.03,1097.54,112.171,3717.96,328.177,2.83546,2.69669,1.95817
1695.68,810.446,164.564,32.7549,2786.63,1285.2,3.58841,1.81169,3.20328
1272.94,1024.47,1435.75,90.4234,3768.09,177.41,2.31524,2.98992,2.33332
973.682,901.685,1474.65,60.6948,3643.68,447.345,3.27513,3.06473,1.37827
1870.11,267.798,1566.61,92.6245,3925.53,533.561,3.1059,2.76416,2.07277
1387.54,325.911,984.409,79.8995,3031.67,481.355,3.86436,2.14879,2.69509
1332.15,954.578,1227.31,116.327,3553.86,283.463,2.25131,2.79989,2.78766
1612.24,341.686,1811.58,97.0091,3996.44,10.4107,3.27867,3.74721,1.3069
1632.23,1082.2,2075.74,107.298,4815.88,117.122,2.70882,2.19755,1.41568
1274.53,576.314,1970.15,94.7498,4073.63,99.7859,3.27564,2.65391,1.67376
2055.61,188.252,1940.66,134.731,4142.8,85.4176,3.16168,2.90768,2.58798
2728.1,511.644,2503.65,161.141,5726.54,739.333,3.09058,3.21582,0.805744
2523.35,470.23,1661.39,70.4622,4666.86,451.406,3.0592,0.781318,2.62413
1191.67,315.391,1544.2,118.742,3201.3,239.636,3.49631,2.94716,0.855902
2416.07,361.65,1886.03,134.884,4836.52,194.603,3.12002,1.29905,2.65269
1447.88,1201.92,2011.49,106.402,4757.25,247.067,2.63622,2.48205,1.26955
1485.94,700.106,1186.01,76.1797,3592.36,479.241,2.65805,2.32417,2.10906
1613.09,602.174,2481.96,139.95,4922.95,353.523,3.08147,3.0825,0.627594
1280.89,562.002,1847.9,79.0617,3712.37,179.003,2.94303,3.08736,1.34651
1630.32,1217.03,1348.61,83.6099,4836.07,100.555,2.95735,1.45162,3.10708
1712.47,530.028,1670.28,85.1158,4063.22,112.677,2.96034,1.98676,2.40108
1745.23,735.853,1582.43,128.061,4098.97,325.172,2.55538,1.88177,2.40092
1346.28,1312.23,2046.24,83.0787,4732.31,9.33375,2.4183,2.53169,1.56487
2000.55,674.476,2125.6,73.8854,4862.42,308.391,2.91809,2.79498,1.52763
1985.6,232.09,1526.0,121.058,4452.0,604.098,3.23637,1.6113,2.64733
1475.7,275.592,2039.44,375.19,3843.81,697.81,3.18147,1.8222,2.13968
2405.32,1041.85,743.776,67.9865,4215.11,893.381,3.00001,1.29805,2.61118
1038.83,251.678,1470.13,92.7839,2935.44,201.552,3.71003,2.84443,1.59059
1895.19,781.619,804.448,136.199,3453.53,287.978,3.34673,0.535685,3.50225
1377.46,801.004,632.427,93.2197,2867.82,29.8005,4.07502,2.84945,3.12981
1187.38,578.741,1905.86,111.598,3910.61,349.661,3.09543,2.40953,1.63352
1320.12,1007.85,1454.18,98.5441,3864.83,276.945,3.09476,2.37427,1.80404
1263.67,489.505,1904.79,99.5526,4016.03,665.082,2.95184,2.0059,2.35307
1480.55,937.727,1198.53,82.0928,3887.22,609.113,2.90658,0.848682,2.93598
1303.39,500.213,1946.35,93.9029,3901.12,357.323,3.18176,2.61497,0.881812
1486.63,146.68,2007.7,289.374,3712.35,538.693,3.13924,2.23254,3.0318
981.728,657.489,1037.33,91.3749,2706.15,128.363,3.377,3.2342,1.67394
1812.35,303.851,2227.78,137.485,4530.97,191.733,3.15514,3.06951,0.996113
2250.27,451.017,644.221,33.5998,3353.52,2033.07,3.06076,3.18909,1.43948
1357.56,1107.68,1055.34,85.6935,3530.65,151.223,2.58795,2.85549,2.54693
404.349,254.534,629.092,100.246,1548.97,59.2449,3.22982,5.32365,3.42594
1546.78,587.034,1173.86,80.4235,3366.73,116.141,3.29405,2.49815,2.92425
2000.45,945.019,1445.12,91.8172,4529.92,419.372,2.52641,1.79321,2.4526
673.309,253.908,688.508,106.418,1668.6,38.0716,3.81746,4.92175,2.24371
1427.99,1163.67,988.452,107.182,4069.51,222.241,2.92693,2.80953,2.44537
5217.82,632.065,1707.33,111.259,8232.36,2423.15,3.12783,1.12021,2.73594
1047.99,185.384,1437.96,315.732,2802.56,635.224,3.41459,1.67032,3.95723
1111.71,725.075,1673.06,83.39,3512.85,81.5459,3.15193,3.56021,1.28704
1446.48,235.252,2084.63,203.939,4114.76,507.068,3.2711,1.67901,1.8874
1565.93,935.482,2297.07,130.655,4982.06,144.273,2.85956,2.57329,0.944823
