pt_mu1,pt_mu2,pt_fjt,M_fjt,S_T,MET,DR_fjt_mu1,DR_fjt_mu2,DR_mu1_mu2
1118.41,229.678,1113.78,119.892,2621.29,95.6205,3.37922,0.943103,3.08563
954.685,155.805,685.327,101.953,1836.01,183.369,3.6447,1.5088,2.71946
1425.61,1097.14,210.438,66.0767,2851.77,64.5329,3.37117,0.943497,3.23304
1172.91,277.478,821.922,60.014,2288.07,148.214,3.28436,1.02554,3.09674
488.369,330.159,431.05,89.7197,1295.72,95.3408,4.00085,1.32889,3.59401
804.643,135.278,677.795,87.78,1627.17,21.4668,3.95095,1.45992,3.2429
1757.68,392.289,664.433,62.7882,2862.75,720.51,3.11639,0.863587,3.18953
2072.7,819.422,682.703,93.5013,3580.41,588.694,3.00043,0.653671,3.08952
1306.36,260.703,1064.84,126.528,2666.58,56.5045,3.29685,0.918621,2.85082
953.436,40.5442,1057.34,131.416,2525.83,262.588,3.37882,2.51751,1.51651
2436.67,1488.24,193.551,12.8981,4426.14,1049.21,1.36444,2.38101,3.01658
1607.66,338.655,841.646,88.9117,2787.41,432.747,3.18397,0.806488,3.38159
758.262,219.375,560.146,84.4402,1621.83,78.6472,4.11952,1.36238,3.18794
1412.95,275.26,1303.98,98.5646,3079.73,66.9123,3.02015,0.852378,2.60499
1401.26,1055.27,721.414,116.104,3367.74,294.228,2.86138,0.679911,2.81275
842.599,217.64,925.017,118.828,1988.2,221.246,3.38403,1.17621,2.67277
1120.66,885.912,460.957,92.9724,2527.7,246.661,3.12748,0.773952,3.37337
1300.26,752.677,401.296,71.9349,2496.62,166.791,2.8736,0.835192,3.2341
510.56,356.594,387.145,94.8323,1599.89,59.7738,4.13427,1.3059,3.86689
1704.89,1262.23,363.875,95.0386,3358.41,68.6694,2.84675,0.77716,3.06057
734.615,218.224,934.371,-0.298197,3041.97,67.6028,3.25831,0.500312,3.20126
1277.95,551.31,923.523,96.5201,2810.76,165.512,2.95431,0.687206,2.86514
774.125,636.631,290.387,55.5037,1824.89,44.5464,3.56326,1.05238,3.50581
477.018,141.91,469.224,85.1917,1133.67,62.2257,4.5783,1.78217,3.09571
1334.2,940.264,57.2726,10.5245,2322.73,384.111,1.68818,1.5509,3.12323
1100.93,809.036,458.291,87.5785,2422.87,81.6479,2.91927,0.718768,3.09403
593.424,464.3,511.189,71.0963,2047.71,68.2851,3.84274,1.10524,3.22569
1434.46,779.043,527.471,91.8521,2736.07,161.338,2.95155,0.69083,2.9686
892.147,486.966,469.478,106.39,2086.86,47.9786,3.42865,1.61786,3.13209
1231.69,157.679,1300.71,82.9246,2722.32,163.882,3.06747,1.07582,2.5737
1087.37,982.461,219.744,91.3717,2449.35,212.276,3.69871,1.04982,3.22986
664.434,448.235,309.086,69.5372,1393.46,41.8678,3.69788,1.29765,3.60257
1538.88,705.614,319.376,50.2449,2499.98,475.158,3.14272,0.647416,3.31915
1056.15,708.803,315.739,60.3872,2077.73,50.927,2.98974,0.883368,3.51355
1438.02,465.838,401.016,50.0625,2358.86,602.238,3.0868,0.734931,2.91561
855.84,329.198,732.019,103.293,2050.05,23.9166,3.40109,1.00473,3.3644
807.44,702.203,110.577,0.0170304,1706.98,123.192,1.30032,2.52411,3.79961
273.823,189.446,273.093,70.9188,758.704,12.8047,5.28003,2.44912,3.88063
662.939,616.241,356.307,96.7841,1763.69,153.01,1.07467,3.22545,3.64731
1134.25,848.724,770.339,109.634,2744.71,382.946,2.85254,0.642561,2.84808
