pt_mu1,pt_mu2,pt_fjt,M_fjt,S_T,MET,DR_fjt_mu1,DR_fjt_mu2,DR_mu1_mu2
1188.92,763.17,1803.52,142.786,3765.99,85.2926,2.84269,2.5891,1.08718
1442.13,360.221,1518.41,112.949,3381.6,232.608,3.41231,3.26836,0.222504
1199.89,313.33,1412.45,101.315,2949.09,494.276,3.1326,1.37589,3.6951
1241.67,922.584,1181.81,76.3323,3977.97,462.096,2.675,1.62632,2.19965
1123.08,231.713,1361.14,104.963,2770.24,235.023,3.14297,2.6789,2.14479
1196.2,397.335,1095.31,95.302,2690.2,115.844,3.08356,2.10901,3.22878
1193.25,476.466,811.838,56.7156,2714.81,430.759,3.25208,2.65892,1.60699
1328.24,292.874,1483.36,105.405,3404.17,106.544,3.22516,2.68345,1.5903
2898.86,677.216,1079.01,95.4923,4859.87,1060.68,3.1581,0.989024,3.04333
1439.87,546.933,1693.89,87.1593,3701.19,266.931,3.15846,3.01244,0.806737
1403.69,1319.33,388.682,102.964,3348.23,173.148,2.53956,3.42951,2.94248
1753.97,601.398,1317.21,68.3602,3705.82,513.423,2.79182,1.90425,1.68629
1169.48,813.868,1794.31,108.593,3785.62,32.3422,2.87366,2.68633,1.15756
496.819,364.052,655.258,102.007,1607.99,462.669,3.91898,1.89246,2.84643
1580.87,172.14,1674.05,83.7661,3440.7,53.0333,3.11316,3.30378,1.84776
1705.51,327.704,1481.62,118.025,3674.81,360.174,3.04656,2.14208,1.56957
1186.22,843.888,838.827,83.1072,2919.25,43.859,2.95388,2.44175,2.27684
1158.64,572.927,1275.01,105.321,3002.22,116.145,3.03233,1.87147,2.03058
2288.46,718.67,1048.24,95.8039,4256.31,850.632,2.86649,0.714942,2.86884
1330.98,866.266,658.092,90.9939,2889.35,46.4617,3.40576,1.29678,3.01347
844.842,408.829,1783.24,123.03,3055.9,548.202,3.28467,3.12349,0.350202
1230.45,1219.48,865.842,93.7896,3392.24,247.458,2.65961,1.90736,2.49322
775.787,689.655,1024.25,83.19,2602.65,165.225,3.19531,2.4609,1.66587
1995.72,1462.06,505.882,56.6378,4155.92,247.379,2.62928,0.951828,3.02495
1085.45,463.657,1262.71,116.89,2824.91,101.023,3.45258,2.54488,1.62468
1718.05,392.696,1379.06,101.669,4088.09,176.725,3.07905,2.49527,1.02919
1520.33,850.381,810.275,87.7248,3228.95,374.202,2.67198,1.61565,2.81652
867.023,428.627,733.366,85.0831,2372.54,244.478,3.8884,2.94194,1.97061
1013.62,637.419,660.956,71.3056,2501.55,158.179,3.7236,1.65624,2.96193
1819.64,721.798,1242.53,119.679,3805.54,169.544,2.8903,1.6615,2.27548
984.048,482.951,1344.62,110.031,3088.84,150.16,2.73356,2.57768,2.66367
1017.48,623.779,1619.94,120.412,3323.57,114.021,3.1406,2.81954,0.955746
1531.69,152.838,1128.66,165.618,2946.7,410.167,3.29562,2.91093,3.65255
994.713,270.023,801.848,74.5583,2284.85,84.7816,3.6993,1.97535,2.44027
1284.03,508.194,1263.82,92.1161,3107.12,398.127,3.17591,2.52474,1.02244
1512.11,366.466,1943.82,129.315,3810.13,96.2565,3.07444,2.90709,1.2571
1288.14,865.227,1704.55,110.996,4208.61,99.2747,3.20361,2.69276,0.977323
881.03,555.211,1234.6,130.775,2824.91,124.228,2.85349,3.05487,2.6123
738.338,564.486,1691.03,92.3591,3038.56,373.815,3.20442,3.12777,1.152
1788.32,625.734,1670.23,136.198,4070.67,300.552,2.86974,2.07559,1.5318
1405.09,1027.1,1720.49,646.41,4199.92,226.717,2.56906,2.63838,1.62709
1848.54,457.409,1490.65,137.244,3944.93,116.188,3.15977,0.986995,2.83748
1259.62,826.48,520.646,97.2764,2650.71,303.487,3.21383,2.33208,2.75581
991.449,612.871,1815.7,106.116,3454.1,237.904,3.10928,2.86612,0.83199
1156.5,438.037,1489.88,131.892,3533.65,116.422,3.06474,2.79771,2.13389
1211.37,661.231,906.724,53.0604,2874.11,518.508,2.7572,2.0324,1.81888
1419.69,245.739,1339.98,88.5511,3313.47,81.1326,3.2406,2.2055,2.97584
516.899,115.845,465.012,83.2053,1104.98,31.4757,5.00371,1.52613,4.22912
979.397,972.71,415.247,65.5061,2606.36,269.322,3.62842,2.46312,2.59276
988.536,135.579,1057.54,93.0488,2277.87,261.207,3.60266,0.883768,3.71495
1107.48,555.891,1425.92,81.1915,3122.46,53.0301,3.18043,2.31832,1.66349
1281.95,1017.04,1656.49,114.159,3992.91,230.736,2.63067,2.39445,1.32715
1384.64,235.675,1444.61,83.8533,3123.23,69.0195,3.37748,3.30744,0.913766
892.065,129.452,1385.64,92.0857,2402.21,425.159,3.54351,2.10065,2.13423
1593.87,570.785,1363.75,98.6383,3678.97,101.808,2.84567,1.51662,2.39695
1320.43,361.731,1495.69,100.807,3208.14,94.4338,3.23615,2.70967,1.54509
1095.95,427.711,434.926,116.335,2191.45,98.6074,3.87997,0.924321,3.64758
888.265,756.784,1160.33,106.199,2950.26,43.1489,3.15572,2.4876,2.05807
1262.71,606.866,351.271,62.6056,2354.62,232.066,4.24432,2.28907,3.03667
606.654,435.612,653.28,67.5112,1824.15,77.6069,3.1038,3.99082,2.49836
1443.48,383.616,1771.59,123.12,3638.29,6.42031,3.2068,2.92572,0.539352
1766.03,787.067,1114.77,107.434,4564.39,485.249,2.2413,2.4754,1.61853
746.579,384.259,804.238,74.4752,2295.82,220.656,3.67696,2.63067,2.40034
712.098,400.353,674.822,86.9602,1817.94,24.759,3.56208,3.86336,2.20398
948.379,600.556,998.295,101.574,2549.49,210.675,3.07734,3.61212,1.84931
1450.05,765.352,1425.6,122.352,3739.36,301.945,2.84961,2.11132,1.6163
1638.75,202.897,1723.7,115.13,3632.78,136.748,3.12412,1.70951,2.32259
1048.82,625.058,1237.99,101.249,2953.16,194.994,2.83678,1.87974,2.07899
1094.44,675.049,1129.1,91.7751,3253.27,315.41,3.16103,1.27115,2.45099
1128.71,344.068,937.995,88.8934,2565.37,62.3055,2.79263,3.10904,3.30005
877.855,615.06,1668.81,129.526,3503.62,553.12,3.00835,1.89929,1.56564
1511.13,755.972,1813.47,147.148,4207.41,59.4186,2.69215,2.28701,1.47204
1180.46,643.03,817.399,74.9351,2741.3,311.083,2.6644,2.65577,2.47193
859.91,409.875,1222.58,100.786,2465.41,53.7564,3.43966,3.08511,1.031
1586.14,1015.41,720.698,72.8395,3507.66,364.199,2.42067,1.67768,2.5604
1138.49,286.528,1571.47,122.76,3211.87,57.4677,3.41124,2.3917,1.97691
870.893,620.615,1396.88,77.122,2948.25,106.244,3.54857,2.9421,1.50546
1199.12,702.586,1081.45,64.9365,3529.1,425.191,3.004,1.99725,1.37504
965.132,319.427,643.93,92.4417,1923.66,356.364,3.9216,1.85825,2.82903
1239.67,424.588,1455.29,122.946,3302.66,80.4146,3.29785,2.57761,1.15066
1574.89,417.841,1434.21,87.309,3418.44,147.485,3.15256,1.58678,2.53901
1534.45,221.909,1849.54,130.078,3699.91,103.738,3.1428,3.11565,1.103
890.2,490.192,490.067,98.9716,1917.46,84.5792,4.29133,1.04001,3.67404
1734.88,392.043,1058.04,95.0549,3398.31,240.801,3.42887,1.46042,2.97236
1469.95,477.459,1677.35,82.1348,3853.82,84.5831,2.91667,1.58868,1.87064
952.47,249.056,958.271,91.3088,2170.48,108.005,3.82087,3.34787,1.2832
1088.79,797.158,738.671,67.5962,2905.63,64.1788,3.28345,1.21341,2.91904
1258.74,355.191,1357.81,93.0281,3024.71,416.257,3.22207,1.41478,2.43422
1788.25,294.355,1434.31,79.9369,3550.82,249.798,3.14056,0.866757,2.36732
2495.16,712.205,958.794,209.321,4250.55,1102.43,2.83587,1.75529,2.32264
1511.64,901.974,1158.42,101.792,3580.55,463.191,2.95575,0.819655,2.76737
1906.94,217.625,1703.31,117.633,3843.03,186.7,3.11944,1.93709,2.53216
1260.74,444.256,1313.04,103.31,3086.88,259.588,3.05238,1.20059,2.43466
758.378,399.988,1123.64,111.319,2670.01,72.3463,3.5595,3.71531,0.774128
1008.56,458.25,1505.5,88.9285,3120.59,178.664,3.22832,3.15655,1.91842
1383.47,378.002,1650.92,106.68,3457.63,70.9275,3.31559,3.05533,0.513185
2179.01,388.313,1254.21,79.0367,3838.92,552.072,3.10074,1.13491,3.00355
614.097,337.827,832.056,129.755,1795.42,56.2371,4.1193,3.44859,1.12629
534.136,477.547,1030.27,104.697,2041.36,49.4246,4.10925,3.29338,1.49709
1050.44,730.95,1385.71,49.566,3200.7,398.642,2.71777,2.72204,0.946503
912.214,249.761,922.12,95.6832,2307.68,131.637,3.514,3.12408,2.82144
1653.82,240.552,1636.83,127.033,3524.32,45.9434,3.07639,2.35849,2.30978
1387.33,477.476,1619.25,56.3712,3884.97,133.566,3.02808,3.11086,0.298555
1397.17,629.47,1662.6,114.373,3822.27,229.226,2.7496,1.76276,1.96797
1467.81,594.794,1692.02,100.943,3898.7,32.7533,2.84714,2.31049,1.19796
1401.04,577.289,1103.49,109.936,3130.95,80.9417,2.74787,1.93848,2.89778
902.119,866.3,510.14,91.9389,2285.82,428.678,3.6107,1.063,3.23037
1504.82,108.088,1624.18,85.8724,3306.01,247.821,3.15842,2.63105,3.56882
1082.69,913.327,1792.56,119.785,3856.63,172.7,2.89946,2.85683,1.02443
1102.32,321.421,1540.9,126.498,3384.83,158.058,3.17143,3.55418,0.73104
721.174,457.87,1115.63,68.3892,2478.07,141.048,3.27415,3.9612,1.33086
1184.4,1106.69,802.275,108.351,3600.12,160.253,1.54692,2.08448,2.80977
1707.65,281.896,1532.85,91.5858,3619.24,321.877,3.18549,2.50609,1.98695
1748.05,461.78,1913.96,113.906,4108.95,297.77,3.13292,2.91652,0.503432
1082.05,881.987,505.808,72.6947,2465.05,180.128,3.46526,2.12914,2.87487
1329.79,252.025,1433.58,71.6237,3039.34,36.4101,3.30134,2.45475,1.38763
1278.36,203.131,1347.47,99.1823,2884.81,135.011,3.06131,3.188,2.82017
928.725,313.936,797.012,73.4109,2407.77,234.54,3.91553,3.12779,2.44335
1177.37,1064.91,867.209,88.6084,3243.6,285.135,2.37142,1.47979,2.75354
1959.52,284.594,1206.22,76.2131,3761.52,672.187,3.27119,1.10575,3.70505
1172.44,587.378,1554.11,156.205,3336.75,151.666,3.09744,2.81938,0.897813
841.474,204.954,835.767,101.53,1959.69,23.2351,3.82648,3.74458,1.75339
611.2,517.774,959.08,80.7588,2080.9,173.598,3.18301,4.23469,2.19755
1360.06,724.825,1789.22,115.231,4110.27,41.5453,2.8377,2.13907,1.35132
1506.57,408.989,1507.02,68.5476,3425.47,62.1679,2.89969,2.02539,1.82581
532.846,272.956,497.639,95.2277,1373.82,50.4334,4.11511,4.24685,2.2471
1042.93,403.287,1233.78,74.0312,2684.01,171.14,3.4972,2.62625,1.9593
662.492,422.146,606.565,58.081,1779.79,231.003,3.86915,2.40316,2.81399
819.074,236.33,922.615,94.1965,2349.34,43.7413,3.77325,2.47141,2.46073
1255.67,510.021,1376.41,126.435,3254.61,169.063,2.9235,1.86572,2.01476
1140.13,229.504,1329.0,179.011,2900.62,196.189,3.47364,3.60671,0.981556
741.676,248.043,880.852,105.175,1905.61,197.215,3.69058,3.67287,2.13512
1841.25,1331.74,718.742,87.9814,4008.8,158.591,2.8258,1.0798,2.89878
895.944,258.334,1144.77,107.938,2818.84,159.749,3.49299,3.59433,0.134743
919.69,503.737,1383.51,126.359,2793.5,68.0757,3.68765,3.35896,0.643668
802.244,75.4409,742.769,79.0038,1649.39,21.7238,4.32691,1.08898,4.44421
1949.22,980.122,987.321,238.527,4178.55,235.956,3.22575,0.84863,2.86152
1060.46,1007.44,606.747,213.851,2692.62,186.439,3.22442,1.68311,2.91895
1035.28,484.304,1013.91,93.0278,3054.02,191.828,3.12519,2.8562,2.09436
2500.7,348.519,871.247,61.3176,3743.3,1475.24,3.33129,1.48877,3.14734
1132.93,415.672,1777.67,123.221,3427.48,135.851,2.93886,3.16977,1.52867
1632.73,551.578,1807.07,114.069,4034.24,308.371,3.06741,2.92739,0.304268
1610.67,295.966,1248.19,95.5955,3176.38,121.627,3.38148,1.39599,2.56157
443.274,249.564,567.132,108.242,1321.77,14.3365,4.96601,2.81746,2.72177
1231.75,492.178,1302.47,114.44,3153.58,267.44,3.09822,1.27638,2.51516
1511.76,571.417,1404.22,66.3234,4199.37,701.23,2.54527,2.84326,0.951227
2153.55,931.896,1552.61,96.2586,4675.99,334.607,2.65563,1.5811,2.07566
1563.3,191.758,743.76,260.398,3300.6,196.214,3.78011,4.29857,2.82116
1819.59,705.727,1309.1,428.626,3948.42,425.641,3.15401,2.18591,2.11893
1458.23,579.722,1446.0,125.662,3635.6,582.604,3.00807,2.90862,1.47408
1131.3,415.098,1048.24,87.9787,3200.42,177.01,2.94296,1.5855,2.88205
1971.77,421.404,1455.62,78.6427,3890.72,77.0849,3.06201,0.639121,2.87261
1249.09,509.081,1761.48,196.902,3616.98,18.8574,3.01439,2.73043,0.645448
1631.6,241.277,1181.01,153.408,3052.31,273.556,3.4749,0.7105,3.09098
1626.34,536.827,1047.7,82.794,3820.53,325.032,3.1104,1.8891,2.28384
485.061,350.995,962.543,81.4293,2055.25,39.797,3.83811,3.02887,2.44762
1350.95,863.267,1368.42,78.6312,3763.04,251.445,2.62334,2.44157,1.527
842.173,630.82,1273.44,106.299,3172.18,200.401,3.52055,2.98157,2.33642
